2019-04-27	17	7	27	4	2	2019	1	0
2019-04-28	17	1	28	4	2	2019	0	0
2019-04-29	18	2	29	4	2	2019	0	0
2019-04-30	18	3	30	4	2	2019	0	0
2019-05-01	18	4	1	5	2	2019	0	0
2019-05-02	18	5	2	5	2	2019	0	0
2019-05-03	18	6	3	5	2	2019	1	0
2019-05-04	18	7	4	5	2	2019	1	0
2019-05-05	18	1	5	5	2	2019	0	0
2019-05-06	19	2	6	5	2	2019	0	0
2019-05-07	19	3	7	5	2	2019	0	0
2019-05-08	19	4	8	5	2	2019	0	0
2019-05-09	19	5	9	5	2	2019	0	0
2019-05-10	19	6	10	5	2	2019	1	0
2019-05-11	19	7	11	5	2	2019	1	0
2019-05-12	19	1	12	5	2	2019	0	0
2019-05-13	20	2	13	5	2	2019	0	0
2019-05-14	20	3	14	5	2	2019	0	0
2019-05-15	20	4	15	5	2	2019	0	0
2019-05-16	20	5	16	5	2	2019	0	0
2019-05-17	20	6	17	5	2	2019	1	0
2019-05-18	20	7	18	5	2	2019	1	0
2019-05-19	20	1	19	5	2	2019	0	0
2019-05-20	21	2	20	5	2	2019	0	0
2019-05-21	21	3	21	5	2	2019	0	0
2019-05-22	21	4	22	5	2	2019	0	0
2019-05-23	21	5	23	5	2	2019	0	0
2019-05-24	21	6	24	5	2	2019	1	0
2019-05-25	21	7	25	5	2	2019	1	0
2019-05-26	21	1	26	5	2	2019	0	0
2019-05-27	22	2	27	5	2	2019	0	0
2019-05-28	22	3	28	5	2	2019	0	0
2019-05-29	22	4	29	5	2	2019	0	0
2019-05-30	22	5	30	5	2	2019	0	0
2019-05-31	22	6	31	5	2	2019	1	0
2019-06-01	22	7	1	6	2	2019	1	0
2019-06-02	22	1	2	6	2	2019	0	0
2019-06-03	23	2	3	6	2	2019	0	0
2019-06-04	23	3	4	6	2	2019	0	0
2019-06-05	23	4	5	6	2	2019	0	0
2019-06-06	23	5	6	6	2	2019	0	0
2019-06-07	23	6	7	6	2	2019	1	0
2019-06-08	23	7	8	6	2	2019	1	0
2019-06-09	23	1	9	6	2	2019	0	0
2019-06-10	24	2	10	6	2	2019	0	0
2019-06-11	24	3	11	6	2	2019	0	0
2019-06-12	24	4	12	6	2	2019	0	0
2019-06-13	24	5	13	6	2	2019	0	0
2019-06-14	24	6	14	6	2	2019	1	0
2019-06-15	24	7	15	6	2	2019	1	0
2019-06-16	24	1	16	6	2	2019	0	0
2019-06-17	25	2	17	6	2	2019	0	0
2019-06-18	25	3	18	6	2	2019	0	0
2019-06-19	25	4	19	6	2	2019	0	0
2019-06-20	25	5	20	6	2	2019	0	0
2019-06-21	25	6	21	6	2	2019	1	0
2019-06-22	25	7	22	6	2	2019	1	0
2019-06-23	25	1	23	6	2	2019	0	0
2019-06-24	26	2	24	6	2	2019	0	0
2019-06-25	26	3	25	6	2	2019	0	0
2019-06-26	26	4	26	6	2	2019	0	0
2019-06-27	26	5	27	6	2	2019	0	0
2019-06-28	26	6	28	6	2	2019	1	0
2019-06-29	26	7	29	6	2	2019	1	0
2019-06-30	26	1	30	6	2	2019	0	0
2019-07-01	27	2	1	7	3	2019	0	0
2019-07-02	27	3	2	7	3	2019	0	0
2019-07-03	27	4	3	7	3	2019	0	0
2019-07-04	27	5	4	7	3	2019	0	0
2019-07-05	27	6	5	7	3	2019	1	0
2019-07-06	27	7	6	7	3	2019	1	0
2019-07-07	27	1	7	7	3	2019	0	0
2019-07-08	28	2	8	7	3	2019	0	0
2019-07-09	28	3	9	7	3	2019	0	0
2019-07-10	28	4	10	7	3	2019	0	0
2019-07-11	28	5	11	7	3	2019	0	0
2019-07-12	28	6	12	7	3	2019	1	0
2019-07-13	28	7	13	7	3	2019	1	0
2019-07-14	28	1	14	7	3	2019	0	0
2019-07-15	29	2	15	7	3	2019	0	0
2019-07-16	29	3	16	7	3	2019	0	0
2019-07-17	29	4	17	7	3	2019	0	0
2019-07-18	29	5	18	7	3	2019	0	0
2019-07-19	29	6	19	7	3	2019	1	0
2019-07-20	29	7	20	7	3	2019	1	0
2019-07-21	29	1	21	7	3	2019	0	0
2019-07-22	30	2	22	7	3	2019	0	0
2019-07-23	30	3	23	7	3	2019	0	0
2019-07-24	30	4	24	7	3	2019	0	0
2019-07-25	30	5	25	7	3	2019	0	0
2019-07-26	30	6	26	7	3	2019	1	0
2019-07-27	30	7	27	7	3	2019	1	0
2019-07-28	30	1	28	7	3	2019	0	0
2019-07-29	31	2	29	7	3	2019	0	0
2019-07-30	31	3	30	7	3	2019	0	0
2019-07-31	31	4	31	7	3	2019	0	0
2019-08-01	31	5	1	8	3	2019	0	0
2019-08-02	31	6	2	8	3	2019	1	0
2019-08-03	31	7	3	8	3	2019	1	0
2019-08-04	31	1	4	8	3	2019	0	0
2019-08-05	32	2	5	8	3	2019	0	0
2019-08-06	32	3	6	8	3	2019	0	0
2019-08-07	32	4	7	8	3	2019	0	0
2019-08-08	32	5	8	8	3	2019	0	0
2019-08-09	32	6	9	8	3	2019	1	0
2019-08-10	32	7	10	8	3	2019	1	0
2019-08-11	32	1	11	8	3	2019	0	0
2019-08-12	33	2	12	8	3	2019	0	0
2019-08-13	33	3	13	8	3	2019	0	0
2019-08-14	33	4	14	8	3	2019	0	0
2019-08-15	33	5	15	8	3	2019	0	0
2019-08-16	33	6	16	8	3	2019	1	0
2019-08-17	33	7	17	8	3	2019	1	0
2019-08-18	33	1	18	8	3	2019	0	0
2019-08-19	34	2	19	8	3	2019	0	0
2019-08-20	34	3	20	8	3	2019	0	0
2019-08-21	34	4	21	8	3	2019	0	0
2019-08-22	34	5	22	8	3	2019	0	0
2019-08-23	34	6	23	8	3	2019	1	0
2019-08-24	34	7	24	8	3	2019	1	0
2019-08-25	34	1	25	8	3	2019	0	0
2019-08-26	35	2	26	8	3	2019	0	0
2019-08-27	35	3	27	8	3	2019	0	0
2019-08-28	35	4	28	8	3	2019	0	0
2019-08-29	35	5	29	8	3	2019	0	0
2019-08-30	35	6	30	8	3	2019	1	0
2019-08-31	35	7	31	8	3	2019	1	0
2019-09-01	35	1	1	9	3	2019	0	0
2019-09-02	36	2	2	9	3	2019	0	0
2019-09-03	36	3	3	9	3	2019	0	0
2019-09-04	36	4	4	9	3	2019	0	0
2019-09-05	36	5	5	9	3	2019	0	0
2019-09-06	36	6	6	9	3	2019	1	0
2019-09-07	36	7	7	9	3	2019	1	0
2019-09-08	36	1	8	9	3	2019	0	0
2019-09-09	37	2	9	9	3	2019	0	0
2019-09-10	37	3	10	9	3	2019	0	0
2019-09-11	37	4	11	9	3	2019	0	0
2019-09-12	37	5	12	9	3	2019	0	0
2019-09-13	37	6	13	9	3	2019	1	0
2019-09-14	37	7	14	9	3	2019	1	0
2019-09-15	37	1	15	9	3	2019	0	0
2019-09-16	38	2	16	9	3	2019	0	0
2019-09-17	38	3	17	9	3	2019	0	0
2019-09-18	38	4	18	9	3	2019	0	0
2019-09-19	38	5	19	9	3	2019	0	0
2019-09-20	38	6	20	9	3	2019	1	0
2019-09-21	38	7	21	9	3	2019	1	0
2019-09-22	38	1	22	9	3	2019	0	0
2019-09-23	39	2	23	9	3	2019	0	0
2019-09-24	39	3	24	9	3	2019	0	0
2019-09-25	39	4	25	9	3	2019	0	0
2019-09-26	39	5	26	9	3	2019	0	0
2019-09-27	39	6	27	9	3	2019	1	0
2019-09-28	39	7	28	9	3	2019	1	0
2019-09-29	39	1	29	9	3	2019	0	0
2019-09-30	40	2	30	9	3	2019	0	0
2019-10-01	40	3	1	10	4	2019	0	0
2019-10-02	40	4	2	10	4	2019	0	0
2019-10-03	40	5	3	10	4	2019	0	0
2019-10-04	40	6	4	10	4	2019	1	0
2019-10-05	40	7	5	10	4	2019	1	0
2019-10-06	40	1	6	10	4	2019	0	0
2019-10-07	41	2	7	10	4	2019	0	0
2019-10-08	41	3	8	10	4	2019	0	0
2019-10-09	41	4	9	10	4	2019	0	0
2019-10-10	41	5	10	10	4	2019	0	0
2019-10-11	41	6	11	10	4	2019	1	0
2019-10-12	41	7	12	10	4	2019	1	0
2019-10-13	41	1	13	10	4	2019	0	0
2019-10-14	42	2	14	10	4	2019	0	0
2019-10-15	42	3	15	10	4	2019	0	0
2019-10-16	42	4	16	10	4	2019	0	0
2019-10-17	42	5	17	10	4	2019	0	0
2019-10-18	42	6	18	10	4	2019	1	0
2019-10-19	42	7	19	10	4	2019	1	0
2019-10-20	42	1	20	10	4	2019	0	0
2019-10-21	43	2	21	10	4	2019	0	0
2019-10-22	43	3	22	10	4	2019	0	0
2019-10-23	43	4	23	10	4	2019	0	0
2019-10-24	43	5	24	10	4	2019	0	0
2019-10-25	43	6	25	10	4	2019	1	0
2019-10-26	43	7	26	10	4	2019	1	0
2019-10-27	43	1	27	10	4	2019	0	0
2019-10-28	44	2	28	10	4	2019	0	0
2019-10-29	44	3	29	10	4	2019	0	0
2019-10-30	44	4	30	10	4	2019	0	0
2019-10-31	44	5	31	10	4	2019	0	0
2019-11-01	44	6	1	11	4	2019	1	0
2019-11-02	44	7	2	11	4	2019	1	0
2019-11-03	44	1	3	11	4	2019	0	0
2019-11-04	45	2	4	11	4	2019	0	0
2019-11-05	45	3	5	11	4	2019	0	0
2019-11-06	45	4	6	11	4	2019	0	0
2019-11-07	45	5	7	11	4	2019	0	0
2019-11-08	45	6	8	11	4	2019	1	0
2019-11-09	45	7	9	11	4	2019	1	0
